2024-03-30 22:19:06.309 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-03-30 22:19:18.952 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-03-30 22:32:11.589 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-03-30 22:33:12.087 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-03-30 22:33:12.176 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-03-30 22:33:12.200 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.2, hlaVersion: HLA IEEE 1516-2010
2024-03-30 22:33:12.332 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-03-30 22:33:12.333 [main] DEBUG skf.core.SEEHLAModule - Loading the foms/LunarRover.xml file.
2024-03-30 22:33:12.333 [main] DEBUG skf.core.SEEHLAModule - Loading the foms/LunarRover.xml file.
2024-03-30 22:33:12.333 [main] INFO  skf.core.SEEHLAModule - Join the federate ' LunarRover ' into the Federation execution ' SEE 2015 '.
2024-03-30 22:33:12.573 [main] INFO  skf.core.SEEHLAModule - Set up time management.
2024-03-30 22:33:12.574 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-03-30 22:33:12.574 [main] INFO  skf.core.SEEHLAModule - Time constrained enabled.
2024-03-30 22:33:12.587 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-03-30 22:33:12.597 [main] INFO  skf.core.SEEHLAModule - The Object ' LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=100.123, y=200.456, z=300.321]] ' has been published.
2024-03-30 22:33:12.598 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' MoonCentricFixed ' ReferenceFrame
2024-03-30 22:33:12.602 [Thread-1] DEBUG skf.model.object.ObjectClassModelParser - Encoding: LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=110.123, y=200.456, z=300.321]]
2024-03-30 22:33:12.605 [Thread-1] INFO  skf.core.SEEHLAModule - The Object ' LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=110.123, y=200.456, z=300.321]] ' has been updated on the HLA/RTI platform.
2024-03-30 22:33:12.618 [Thread-1] DEBUG skf.model.object.ObjectClassModelParser - Encoding: LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=120.123, y=200.456, z=300.321]]
2024-03-30 22:33:12.619 [Thread-1] INFO  skf.core.SEEHLAModule - The Object ' LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=120.123, y=200.456, z=300.321]] ' has been updated on the HLA/RTI platform.
2024-03-30 22:33:12.631 [Thread-1] DEBUG skf.model.object.ObjectClassModelParser - Encoding: LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=130.123, y=200.456, z=300.321]]
2024-03-30 22:33:12.632 [Thread-1] INFO  skf.core.SEEHLAModule - The Object ' LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=130.123, y=200.456, z=300.321]] ' has been updated on the HLA/RTI platform.
2024-03-30 22:33:12.645 [Thread-1] DEBUG skf.model.object.ObjectClassModelParser - Encoding: LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=140.123, y=200.456, z=300.321]]
2024-03-30 22:33:12.645 [Thread-1] INFO  skf.core.SEEHLAModule - The Object ' LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=140.123, y=200.456, z=300.321]] ' has been updated on the HLA/RTI platform.
2024-03-30 22:33:12.658 [Thread-1] DEBUG skf.model.object.ObjectClassModelParser - Encoding: LunarRover [entity_name=LunarRover, parent_reference_frame=MoonCentricFixed, entity_type=LunarRoverType, position=Position [x=150.123, y=200.456, z=300.321]]
